Java程序员,珠海科亚信息技术有限公司,4.5-6千/月,08-02,外资（非欧美）,50-150人,计算机软件,,珠海|2年经验|本科|招20人,【,珠海市唐家湾镇哈工大路1号-1-C203,"CoreSolutionsisaprivatelyheldinformationtechnologyandservicesfirmspecializinginglobalsourcingsolutions.CoreSolutionsistheonlysolutionproviderthathelpsbothbuyersandsellersstreamlinebusinessprocessesacrosstheend-to-endsourcinglifecycle-fromproductdevelopmenttocosting,fromQAtoQC,fromordertopayment.CoreSolutionsoffersapowerfulsetofelectronicandweb-basesolutionsthatdramaticallyimproveProductLifecycleManagement(PLM),GlobalSourcingManagement,GlobalVendorAutomationandSupplyChainCollaboration.Leadingretailers,wholesalers,brandmanufacturersandthousandsofvendorsaroundtheworlduseCoreSolutions'softwareandservicestocoordinateactivities,synchronizedata,increasevisibilityandeliminatemanualprocesses.CoreSolutionsisbasedinHongKongwithofficesinUSandChina.CoreSolutions'CBXsuiteisthemostpowerfulsetofglobalsourcingsoftwareandservicestohelpretailers,wholesalersandbrandedmanufacturersstreamlineProductDevelopment,Sourcing,OrderManagement,ProductionManagement,QualityManagement,LogisticsandFinance.CoreSolutions建立于1995年，在IT咨询顾问和企业软件开发一直保持着领先的地位。现在，以香港为中心，本公司在美国，上海，珠海等地方建立起了分公司。我们的团队，专注于企业软件的开发（我们的旗舰产品iDEX/CBX－企业信息交换平台）并且为各领域的领头企业提供专业的解决方案，如SCM，ERP，BusinessIntelligence等。我们的客户包括渣打银行，汇丰银行，欧尚,家乐福,CloesGroup,SwireBeverages，SanMiguel，CrownWorldwide，LimitedBrands，等其他著名企业。于2003年在中国珠海投资成立了珠海科亚信息技术有限公司，注册资金为350万港币，座落于珠海的高新区--珠海新经济资源开发港。现在，我们珠海的技术团队具有一些非常有挑战性的工作机会给愿意接受挑战的计算机专业人才。我们非常欢迎聪明，有强烈的求知欲，高忠诚度，和不成功决不罢休的态度的计算机专业人才来应聘。应聘者的资料会被严格的保密。公司网站:http://www.coresolutions.com[公司的优势及提供的福利]：1.外企灵活、开放的管理模式，民主、人性化的制度及乐于分享技术的企业文化；2.良好的培训及发展空间，让每位员工能发挥所长；3.每天八小时，五天工作制；4.至少一年一次的提薪机会；5.从入职当月起办理社保（养老、医疗、失业、工伤、生育）；6.工作满一周年，享有带薪假期10天；7.其他节假日按国家规定执行；8.可接收人事档案(公司代缴档案费)；公司有党支部可接收党员关系；9.符合条件者可申请入公司集体户口；10.如有需要可申请安排员工宿舍；"
程序员,山东雨荷网络科技有限公司,1-1.5万/月,08-02,创业公司,少于50人,计算机软件,,临沂-罗庄区|5-7年经验|大专|招3人,,通达南路与湖北路交汇西启迪科创大厦,本公司为微信，支付宝驻临沂服务商，主要做刷脸支付和软件的推广，主要工作是本地推广，和全国招商，工作环境，福利待遇优厚，发展前景巨大，欢迎加入我们！
阿里巴巴高级前端程序员,广州万德企业管理服务有限公司,1.5-2万/月,08-02,民营公司,50-150人,电子技术/半导体/集成电路,五险一金 绩效奖金 全勤奖 节日福利 专业培训 餐饮补贴 加班补贴 住房补贴,杭州-滨江区|2年经验|高中|招10人,1.了解浏览器的渲染机制以及js的性能瓶颈，有基于js算法优化的经验。对于大中型项目的前端系统的前端性能有评测手段和优化技能2.知道主流js框架的区别和设计思想，阅读过至少一种框架的源码，了解其核心实现机制。有自己实现过js代码库3.对于前端新技术例如nodejs、jsmvc、canvas有技术探索。使用这些技术有产出，例如产出提高效率的工具4.具备攻坚解决问题的能力，对大型项目具备前瞻性的分析能力5.基于js运行机制和浏览器安全沙箱的理解，能够避免页面出现安全问题。了解跨主域的数据通信方案。（vue也可以）咨询电话：18692344968邓主管（可致电详细咨询）,华泰创业园/滨江阿里园区二选一,广州万德企业管理服务有限公司于2018年成立，是一家集企业管理咨询、人力资源外包、国内劳务派遣于一体的综合性人力资源服务公司。业务涵盖人力资源外包、劳务派遣，以服务外包方式从事职能管理服务和项目管理服务及人力资源服务，致力于打造成为最具影响力、***的企业标准化咨询和人力资源服务平台。公司自创建以来始终坚持诚信，秉承“让客户满意是我们的追求”的服务宗旨，“顾客至上，锐意进取”的经营理念，坚持“客户***”的原则，用自身服务打动客户，为广大客户提供优质服务。借由高覆盖、高效率的专业服务，我们获得了众多公司和机构的认可。我们将以更专业、创新的精神为您提供快捷、经济、专业的贴心服务，期待与您合作共赢！
数据库程序员,太美医疗系统,0.6-1.2万/月,08-02,民营公司,500-1000人,医疗/护理/卫生,五险一金 餐饮补贴 通讯补贴 交通补贴 专业培训 绩效奖金 定期体检 年终奖金,上海-徐汇区|在校生/应届生|本科|招4人,1.独立进行eCRF界面配置和逻辑核查程序编写；2.撰写数据结构表；3.系统上线前针对用户进行系统使用培训；4.使用SAS进行人工核查编程、一致性核查、方案违背列表维护及数据列表编程；5.独立进行中央随机系统或公司其他系统对接配置；6.支持建库培训；7.参与EDC系统升级的UAT验收；8.协助DPL执行数据迁移；9.协助进行系统建库培训以及技术支持。1.大专及以上学历，计算机、信息学、数学和医学专业；2.熟悉Office软件，至少包括Word，Excel及PowerPoint；3.有良好的团队协作意识和流程控制意识；4.英文4级或以上（或等资质水平），听说读写熟练；5.至少1年临床数据建库或SAS编程工作经验；6.了解SQL数据库设计语言。,上海市徐汇区桂菁路7号华东理工科技园G园1号楼7-8F,"太美医疗科技将自身定位为生物医药产业数字化运营平台，业务覆盖医药研发、药物警戒、医药营销和市场准入等领域。太美医疗科技自主研发完整的专业软件产品线，包括eCooperate(CTMS)、eCollect(EDC)、eArchive(eTMF)、eBalance(IWRS)、eVisit(ePRO)、eImage医学影像阅片系统、eSafety药物警戒系统、eSite机构管理系统、eTrial一期病房系统、eCollege培训管理系统、CRM客户关系管理系统等，并创新性打造以协作为核心理念的TrialOS平台，链接医院、制药企业、服务商、监管机构、患者等行业参与者，实现数据的顺畅流转，流程的密切合作，并统一行业标准，实现多方价值升级与共赢。太美医疗科技同时提供基于人工智能等先进技术的临床研究数据管理、生物统计、独立影像评估、药物警戒、药物经济学评价等专业服务。凭借专业软件套件、协作平台和专业服务能力，借助全程数据驱动，太美医疗科技联合合作伙伴，提供临床研究、药物警戒等领域的整体外包解决方案。太美医疗科技秉承“让好药触手可及”的使命，正在构筑未来医药行业运行的基础设施，从而令新药更快上市，保障患者用药安全，让好药易于获得，同时，降低患者的医疗负担。至今，太美医疗科技已与超过500家国内外领先制药企业开展业务,与200余家CRO和第三方服务商和形成合作，与1600余家医院保持稳定合作，累计为300万名患者提供服务，平台支撑我国1/3的注册临床研究和不良反应申报工作。公司获得国家高新技术企业称号，是CDISC和WHO-UMC认证供应商，产品获得ISO9001、ISO27001、ISO20000-1认证，公安部等级保护三级认证和可信云企业级SaaS认证，率先对接国家药物不良反应监测中心直报系统。"
asp. net程序员,温州忆初科技有限公司,1-1.5万/月,08-02,民营公司,少于50人,计算机软件,,温州|2年经验|本科|招2人,1.1年及以上ASP.NETCore（C#）开发工作经验2.2年及以上C#语言使用经验3.熟悉SQLServer/MySql数据开发工作经验4.熟悉HTML和Javascript5.有微服务开发经验者优先6.能承受一定的工作压力，按进度要求高效完成开发任务,学院中路7号 浙江创意园d幢109,温州忆初科技有限公司是一家专注于提供软件开发服务的公司。公司创始人中有博士学位2人，副教授1人，目前有大专以上专职研发人员20人，员工平均软件开发经验超过5年。公司目前有专利2项，软件著作权16项，已通过ISO27001等国际认证。2019年被评为浙江省高成长科技型中小企业。2020年被评为鹿城区创新券载体。
PHP程序员/网站开发/网站程序员,深圳市麦趣科技有限公司,1-1.5万/月,06-20,外资（欧美）,150-500人,交通/运输/物流,加班补贴 绩效奖金 带薪年假 五险一金 节日福利 全勤奖 餐饮补贴 员工旅游 弹性工作,深圳-龙华新区|3-4年经验|大专|招若干人,"1、计算机大专以上学历，2年以上开发经验，有独立项目或大型网站开发经验。2、熟悉magento二次开发、PHP开发，MVC，JQuery,良好的代码规范。3、根据公司的需求进行对magento平台进行二次开发。4、根据活动要求，开发相应的活动专题页功能。5、负责PHP自己网站的开发与维护。任职要求：1.精通任意一种商城系统（Magento,Ecshore等等）；2.熟悉linux+Mysql+Php,PHP和MySQL数据库设计，配置、维护、性能优化；3.有2年以上php经验优先考虑；4、有成功网站优化经验优先。公司薪酬福利：1、***,全勤奖200;2、试用期为2个月；3、购买五险；4、带薪年假，节假日礼品、产假、病假等；5、公司配备多台微波炉、冰箱；6、4-9月期间定期有固定体育活动或下午茶；7、工作日不加班，节假日若安排在家加班，会有相应倍数的加班工资;8、工作时间：9:00-12:30,14:00-18:30，5.5天工作制。",深圳市龙华区大浪街道高峰社区龙城工贸御祥厂区6栋厂房4层,"深圳市麦趣科技有限公司（ShenzhenMuchTechnologyCo,.LTD），于2011年6月成立于中国深圳，现有员工500多人。麦趣是国内较早一批开展跨境电商的企业之一，目前已经发展成为一家以跨境电商业务为主，集商品开发、采购、销售、仓储、物流、客户服务、系统研发为一体，以第三方电商平台（包括eBay，amazon，wish，WalMart，aliexpress，等）与自建B2C商城并重，加大进口发展步伐，同步发展物流仓储专业服务的多元化、集团化的经营格局。麦趣总部位于中国深圳，是销售、软件开发、客户服务、职能管理中心；深圳、广州、东莞、义乌、香港是公司采购基地；美国、英国、日本等地均设有仓储、物流中心。麦趣是中国跨境电商行业较早开设海外仓的公司之一。2011年开始在美国建设海外仓，到目前为止海外仓储已遍及北美洲、欧洲、亚洲、澳洲。发达的仓储物流网，有效地缩短了订单周期和运营成本，保证世界各地的客户以最快的速度享受到我们***的产品和最优的服务，麦趣以其快速增长的态势、先进的世界仓储实践经验使其在众多跨境电商企业中脱颖而出，成为深圳市跨境电商的优秀企业，在国内跨境电商领域处于领先地位。公司计划逐步开放海外仓功能，降低企业设置海外备货的门槛。"
SAS程序员,北京凯普顿医药科技开发有限公司,1-2万/月,06-20,民营公司,150-500人,制药/生物工程,五险一金 绩效奖金 项目奖金,北京-西城区|1年经验|本科|招2人,"1.负责按照统计分析计划(SAP),编写SAS程序,生成统计数据图表列表等rtf文件；2.负责SAS宏程序的开发，构建公司相关程序框架体系和程序相关SOP；3.制作或审阅SDTMaCRFs，撰写和审阅SDTM/分析数据集说明文档及其他编程支持文件；4.审阅随机方案并生成随机表；5.作为项目负责人，和统计师或申办方沟通统计编程问题；6.审核来自统计部的其他同事（统计师、SASprogrammer和DM）的文件，与统计师、数据管理员、QC等相关项目人员沟通，提供程序编写支持；7.为团队提供技术支持和培训。1.生物统计/统计学/数据/计算机/医学或其他自然科学专业，本科及以上学历；2.技术要求：熟悉SAS程序编程语言。精通SAS在数据管理上的应用，基本掌握SAS在统计分析中的应用；3.精通SAS/Base，SAS/Macros,SAS/Graph,SAS/Stat和报表流程；4.熟悉CDISC标准，CDASH,SDTM,ADaM标准；5.3年以上SAS经验者优先考虑，在医院临床科室、制药企业或CRO公司，有SASProgrammer工作经验者优先考虑；6.具有较强的执行力和较强的集体意识和良好的团队合作精神；具有良好的适应能力、问题解决能力及应急处置能力，能在时间限制和任务压力下工作；7.良好的中英文表达能力。",北矿商务楼5层,"2007年北京凯普顿合伙人管理着中国***的CRO，2010年创业建立300多人规模的CRO,2011年底专注CRO互联大数据平台搭建，2013年数据平台上线，同时注册资金1000万成立北京凯普顿/凯森格，依托4个数据平台进行临床研究和咨询管理服务。我们的商业服务模式是建立中国医药产品经济学评价和投资模型，中国医疗资源实时调研系统，中国受试者互联招募系统，中国医药产品上市后无缝销售和推广平台，解决企业从新药研发投资到产品早期销售中最关键的问题。我们的服务范围包括新药的评估和咨询、注册策略及政府事务、临床研究相关医学事务、临床研究管理和监查、药物警戒管理、数据和统计分析管理、无缝化市场销售和推广、产品定位和大品种培育等服务。"
C/C++软件开发程序员,上海清泽信息技术有限公司,6-8千/月,06-21,合资,少于50人,计算机软件,五险一金 员工旅游 定期体检 交通补贴 专业培训 出国机会 绩效奖金 年终奖金,上海|无需经验|本科|招20人,岗位职责：1、负责项目组开发工作；2、按项目任务分配及时完成开发任务；3、负责模块开发并提供技术支持。岗位要求：1、计算机相关专业本科以上学历；2、精通C/C++语言（必须），及java、python3、熟练掌握VistualStudio开发工具；5、有日语基础或对学习日语有兴趣者优先；,闵行区,清泽科技2008年成立于上海交通大学，致力于图形图像识别、深度学习以及AI算法的研究，聚焦智慧医疗及智能汽车产业，提供精准的解决方案、软件和定制化服务。多年来深耕日本市场，为日本多家大型企业提供了人物识别、图像识别、医疗影像识别、医疗设备软件、视频分析、汽车辅助驾驶技术研发与应用等解决方案。公司团队拥有10余年产品研发和项目实施及项目管理经验，坚持技术创新与行业场景的深度融合，从需求分析、产品设计、定制化研发到实施运维服务提供一站式服务支持。清泽科技作为国家高新技术企业、双软认证企业，已获得国家多项目专利证书、软件证书。请有意者直接点击“申请该职位”或在一周内发送简历至邮箱：recruit@kiyozawa.com注：简历请附个人近期照片。
U3D程序员,华夏新国际体育娱乐（北京）有限公司,0.8-1万/月,06-30,民营公司,50-150人,娱乐/休闲/体育,五险一金,北京-朝阳区|无需经验|招若干人,1、负责进行游戏的功能研发。负责进行游戏的功能研发。负责进行游戏的功能研发。负责进行游戏的功能研发。2、负责对已有游戏功能进行维护和升级游戏功能进行维护和升级游戏功能进行维护和升级游戏功能进行维护和升级。3、负责对接安卓端对接安卓端对接安卓端SDK。4、对游戏的优化和发展提出可行方案。对游戏的优化和发展提出可行方案。对游戏的优化和发展提出可行方案。对游戏的优化和发展提出可行方案。对游戏的优化和发展提出可行方案。5、优化自己管理的代码，保证整洁性和可读优化自己管理的代码，保证整洁性和可读优化自己管理的代码，保证整洁性和可读优化自己管理的代码，保证整洁性和可读优化自己管理的代码，保证整洁性和可读优化自己管理的代码，保证整洁性和可读优化自己管理的代码，保证整洁性和可读。6、配合策划及美术进行相关业务逻辑的实现。配合策划及美术进行相关业务逻辑的实现。配合策划及美术进行相关业务逻辑的实现。配合策划及美术进行相关业务逻辑的实现。配合策划及美术进行相关业务逻辑的实现。配合策划及美术进行相关业务逻辑的实现。7、参与公司游戏立项，提供有趣的想法并能够独完成演示游戏核心功能的核心功能的DEMO。8、不断学习，提高自身技术水平，并将学习成果转化为产出。任职资格：1、计算机系应届毕业生计算机系应届毕业生计算机系应届毕业生。有使用Unity进行游戏开发的经验。2、精通C#，熟练使用，熟练使用，熟练使用Java有额外加分。有额外加分。有额外加分。3、能够熟练使用基础数据结构和算法。能够熟练使用基础数据结构和算法。能够熟练使用基础数据结构和算法。能够熟练使用基础数据结构和算法。能够熟练使用基础数据结构和算法。4、熟练使用XML、JSON等常用文本格式，能够进行数据等常用文本格式，能够进行数据等常用文本格式，能够进行数据等常用文本格式，能够进行数据等常用文本格式，能够进行数据等常用文本格式，能够进行数据表的读写工作。表的读写工作。5、熟练掌握熟练掌握Unity常用功能及插件。常用功能及插件。常用功能及插件。6、能够进行能够进行Unity对接AndroidSdk的相关工作。的相关工作。7、能够适应需求的频繁修改。能够适应需求的频繁修改。能够适应需求的频繁修改。能够适应需求的频繁修改。8、求知欲强，能够主动学习新技术。求知欲强，能够主动学习新技术。求知欲强，能够主动学习新技术。求知欲强，能够主动学习新技术。求知欲强，能够主动学习新技术。9、热爱ACG，希望能够从事相关工作。，希望能够从事相关工作。，希望能够从事相关工作。，希望能够从事相关工作。10、能够快速融入团队。能够快速融入团队。能够快速融入团队。,昆泰国际大厦1908室,"华夏新国际体育娱乐(北京)有限公司创立于2009年,是一家融合文化、娱乐、体育、休闲、旅游、金融投资等六大产业板块的资产运营管理机构。为民众提供观赏性强、参与性强、健康的文娱休闲活动，为企业提供品牌推广平台和品牌影响力的提升拓展空间。主营业务范围涵盖：文化、娱乐产品的创新与融合；休闲、旅游集聚区和健康产业的联合开发；体育赛事的商业开发、运营与管理。团队由涉足文化产业、体育产业及资本运营最前沿、最核心人员组成。在全新启用的国家大剧院策划并举办了“世界***抒情女高音”——迪?卡娜娃的首场个人中国独唱音乐会。邀请中国钢琴领军人物陈萨为VISA公司的客户举行了首次户外演奏会。策划了在国家大剧院举行的全球***巴洛克音乐会，并为VISA客户主办了少儿巴洛克音乐大师课，为青少年普及西方音乐知识。作为PGATour的顾问公司，华夏新国际在这一年成功将“汇丰高尔夫锦标赛”引进中国。成功举办了全国马术场地障碍冠军赛总决赛，即亚运会的选拔赛。成功将FEI场地障碍世界杯带到了中国，这项国际赛事也得到了国家体育总局及北京市政府的鼎力支持，由华夏新国际负责整个赛事的策划及实施工作。截至2014年10月，华夏新国际作为承办单位已连续四年共成功举办了12站国际马联场地障碍世界杯中国联赛。"
PHP程序员,苏州康美美容医院有限公司,0.6-1.5万/月,06-30,民营公司,150-500人,医疗/护理/卫生,,苏州-姑苏区|2年经验|大专|招2人,1、负责或参与网站数据库、栏目程序模块设计与开发；2、负责网站项目程序的开发与前端配合；3、负责网站代码和功能的维护和改进工作；4、独立完成能模块的程序开发、单元测试、文档写作；5、网站系统分析及需求分析，优化网站性能；6、快速排查定位问题，保证系统的稳定性。任职要求1、熟悉掌握PHP语言，能熟练应用PHP+MySQL进行开发；2、具有web开发经验，掌握MVC.HTML（DIV+CSS）.HTML5.Ajax.Jquery.Bootstrap等技术；3、具有良好的编程习惯，有多层级、多模块架构的开发经验；4、熟悉项目开发流程，包括需求、设计、开发、测试、维护等，熟悉使用版本控制软件和bug管理软件；5、熟悉TCP/IP、HTTP等网络协议；6、专科以上学历，2年以上有医疗行业PHP开发经验者优先；7、工作勤奋主动，学习能力强，有强烈的责任心。,干将西路251号康美整形医院,康美国际整形美容旗舰机构，2003年落户南京，是华东整形美容市场的引领者，中国整形美容行业的先行者。以“亚洲连锁品牌”的经营布局为引导，“一站式整形美容综合体——整形美容MALL”的品牌定位为方向，康美国际多年来夯实技术力量、培养核心专业团队、构建亚洲明星整形美容基地、打造品牌价值影响，已经跻身亚洲一流整形美容品牌之列。2016年，南通康美国际为美而来，引进国际前沿的专业设备和医美技术，为求美者的蜕变提供有力的安全保障。2018年，苏州康美耀世启航，苏州医美从此划分！20000平米医美旗舰院，是目前华东地区单体规模***的专业整形美容机构；四级（高难度）手术资质是我们不断前进的动力；苏州康美将在学术、技术、公益等方面稳步前进，夯实根基从而厚积薄发引领康美战略发展新方向。公司地址：苏州姑苏区干将西路251号招聘热线：0512-6916831617761892502
高级java程序员,南宁泰坦软件有限公司,5-8千/月,06-30,民营公司,150-500人,计算机软件,五险 周末双休,南宁|3-4年经验|大专|招5人,,青秀区民主路3号丰德智诚大厦（维也纳酒店）办公区12楼,南宁泰坦软件有限公司作为一家以高科技创意为核心的技术服务公司，主要从事信息类管理系统研发、集成、智能数字档案馆、档案数字化加工、整理服务，已为广西多个政府主要部门和机关事业单位提供相关服务。公司于2015年获得广西壮族自治区保密局颁发《国家秘密载体印制资质证书》，并拥有系统集成、ISO9001认证证书、高新技术企业证书等多个资质，是档案业务部门推荐的档案相关业务服务公司。公司拥有一批高素质的专业技术和管理人才，具有很强的技术开发、技术支持和市场开拓能力，特别是在基于大型数据库的管理信息软件和通过网络办公系统的研发中，积累了丰富的经验，成功开发了广西区婚姻登记信息管理系统、广西公安档案信息管理系统、档案馆电子文件备份中心系统，形成了自己的核心技术，是一家目标明确、技术特点突出的高技术公司。公司还拥有一支业务过硬、作风扎实的档案数字化扫描加工、档案整理、档案抢救等优质高效的服务队伍，承担并完成了南宁市档案局、兴宁区档案局等单位的数字化扫描加工，广西民政厅、广西公安厅、广西壮族自治区事业单位登记管理局等单位的档案整理及修裱工作。泰坦软件视人才为企业发展的资源，广泛接纳并不断培养具有技术专长和良好服务意识的科技人才与服务队伍。公司始终坚持“技术是前提，服务是根本”的经营理念，本着“信誉***、服务至上”的宗旨，在公司严格的组织纪律和企业精神鼓舞下，以优良的工作作风和团队协作精神、过硬的业务水平和创新能力、强烈的责任心和完美的执行力，高效率、高质量、高标准为用户提供“优质产品、优质服务”。公司的发展目标是在踏踏实实地为客户创造价值节省成本的同时，以创新为主，继续扩大规模，创造显着的社会与经济效益。
cocos高级程序员,厦门麦克斯韦教育科技有限公司,1.5-2万/月,06-30,民营公司,50-150人,教育/培训/院校,周末双休 五险一金 全勤奖,厦门|5-7年经验|大专|招若干人,工作职责：1，负责公司相关项目的游戏框架开发。2，接入各端接口，SDK等，完成公司相关项目开发。2，配合测试完成功能验收，及时主动排除产品bug。3，根据需求不断迭代优化产品。任职需求：1、计算机相关专业本科及以上学历，3年以上cocos项目开发经验（棋牌经验不计入）；2、精通cocoscreator引擎，熟悉面向对象编程。3、精通cocos内存管理，drawcall优化，资源管理，了解Shader，及引擎底层代码（即一定修改引擎能力）。4、能独立搭建游戏框架，至少编写过任一编辑器工具（如地图编辑器，角色编辑器，动画编辑器等编辑器工具）。5、熟悉http网络协议，游戏同步机制，了解json、xml，protobuf等数据交换格式；6、拥有良好的编码习惯，要求结构清晰、命名规范、逻辑性强、代码冗余率低7、具备良好的沟通合作技巧，较强的责任心及团队合作精神；对工作积极严谨，勇于承担压力,思明区软件园2期望海路15-2四楼403,厦门麦克斯韦教育科技有限公司诚聘
IT程序员-广州-7-10K,深圳市清日信息咨询有限公司,0.7-1万/月,06-30,民营公司,50-150人,中介服务,五险一金 年终奖金 带薪年假 周末双休 员工旅游 免费班车 绩效奖金 加班补贴 住房补贴 餐饮补贴,广州|1年经验|大专|招1人,职位编号：hr200331职位：IT程序员-广州-7-10K岗位要求：1、大专以上学历，计算机相关专业；2、一年以上VS.net开发工作经验；3、精通.net编程语言；4、能熟练进行软件界面开发以及维护升级；5、熟悉SQLServer数据库技术；6、良好的编码注释习惯和熟悉开发流程；7、较强的沟通能力，良好的团队精神。*温馨提示：人才请自己制作中文简历并上附上相片，直接发至：hr07@center-hr.net我们可以免费为您推荐您满意的工作，同时为您保守一切秘密。薪资待遇：1）公司提供良好的上升空间，每年定期调薪2）五天八小时工作制度，购买5险1金，包吃住3）薪资：7-10K，加班费另算联系人：Ms.周电话：0755-26711663,广州,公司地址：深圳市南山区科技园南区深圳清华大学研究院A区218服务内容：人才供求信息服务（人才推荐、人才招聘、人才派遣、人才测评、高级人才寻访），外籍就业签证代办，新立公司营业执照代办，翻译派遣，笔译。服务对象：华南地区制造、服务、金融保险等行业（主要面向日资）。面对求职者：免费推荐工作.承诺尊重人才个人意向，不随便公开个人信息。经营理念：快速响应、优质服务，提高顾客满意度我们的使命:成为企业选才的可靠桥梁我们具有：良好的高校及政府背景。高素质的专业人才顾问队伍。丰富的企业顾客资源（主要日资企业及各高校下属高新企业）。丰富的人才资源，同时与各高等院校进行人才交流合作。清日人才立足深圳市，面向华南地区为企业与人才架起沟通的桥梁，具有多年从事人才中介服务的专业经验。凭着专业、高效的能力及务实、诚信的声誉多年来已为众多企业及人才提供满意的服务。面对求职者：免费推荐工作，承诺尊重人才个人意向，不随便公开个人信息；面对企业：实行招聘成功报酬制。
PHP程序员,广州市壹软网络科技有限公司,3-4.5千/月,07-01,民营公司,少于50人,通信/电信/网络设备,,广州-黄埔区|1年经验|大专|招1人,1、熟练企业站、商城、手机站、微信站等定制开发及进行二次开发；2、熟练php+mysql服务器环境搭建与维护；3、负责公司网站的维护和二次开发。任职要求：1、一年以上php+mysql编程开发经验，熟悉PHP+MySQL网站编程；面试需携带作品。2、有熟悉HTML、XHTML、JavaScript、jqurry等设计开发技术。3、熟悉DIV+CSS，html，javascript等相关Web技术，熟悉至少一种目前主流的编程框架。4、工作态度好，上进心强，有责任心，有团队合作精神。5、大专以上学历，计算机或相关专业。,黄埔东路3529号鸿森商务中心227A,广州市壹软网络科技有限公司【简称：壹软科技（股权代码：892020）】是一家致力于网络科技创新与网络软硬件系统集成于一体的公司，公司创立于广州。创新、积极、团结、勇敢是公司的企业精神。自2011年创立以来，公司坚持拓展创新理念，重视人员培育；在商贸连销、智慧餐饮、办公掌上化、互联网大数据方面取得一定的建树。公司重视知识产权投入建设，现提交有发明专利5件、商标10件、软著11件，2017年10月公司通过了知识产权管理体系认证。2016年高新科技培育入库企业、广州科技小巨人企业。2017年公司通过高新科技企业认定。2018年，我们继续踏上开启未来的创新征程。我们崇尚将先进、创新性的科技产品与客户共同分享。壹软网络的成长和发展源于客户的支持，我们以诚信回馈于客户，尽心尽责，务求完美。公司秉承与员工共同发展，共享成果的经营理念，努力为员工创造良好的工作环境、并通过广阔的发展前景，与员工一道开启新的事业平台。现公司因扩大团队规模广纳贤才，诚招热爱互联网金融、团队管理、敢于挑战的有志之士加入！在这里，没有明争暗斗在这里，你不会感觉到怀才不遇。如果，你是新人我们将给你系统全面的培训和学习。如果，你已经是销售能手，那么这里将给你更大的舞台让你一展抱负。上班时间：周一至周五AM9:00-12：00，PM13:30-18:00长短周，周六AM10：00-17：30公司联系方式：020-29137238营销中心地址：广州市萝岗区科学城绿地中央广场A1-1406(邮编：510000)
SAS 编程-统计程序员,上海复宏汉霖生物技术股份有限公司,15-20万/年,07-01,合资,1000-5000人,制药/生物工程,五险一金 补充医疗保险 补充公积金 员工旅游 交通补贴 餐饮补贴 通讯补贴 年终奖金 弹性工作 专业培训,南京-江宁区|1年经验|本科|招若干人,"主要工作职责：1.负责公司SAS程序开发，特别是公司专用的宏程序的开发；2.参与临床试验项目讨论，负责撰写审核SAS程序，参与生物统计和数据管理的各种计划、报告及质量控制的文档攥写和审阅，对撰写临床总结报告提供统计支持。3.能够与内部同事及外部客户或者供应商进行有效沟通；4.能够对项目进行有效管理，确保按照既定计划实施；5.能够为其他部门提供咨询。6.执行直线主管或公司管理层要求的其他工作。任职条件：1.Education:—统计学、数学及医学等专业，本科及以上学历2.Experience:—SAS编程工作经验1年以上。3.SoftSkills:—可阅读专业类的英文资料，可以用英文写简单的报告(相当于六级合格水平)—语言精练，逻辑性强，能够很好地组织所需表达的信息，易理解并能引起对方的有效反馈，—能够撰写复杂的分析报告—熟练使用Office办公软件：Work/Excel/PPT—在某个涉及需要把原理,法则和组织的实践或操作先例综合应用的专业科目里具备先进/训练有素的技能和知识。",131号,复宏汉霖（2696.HK）是一家国际化的创新生物制药公司，旨在为全球患者提供质高价优的创新生物药，产品覆盖肿瘤、自身免疫性疾病等领域。自2010年成立以来，公司以全球联动、整合创新为产品开发理念，在中国上海、中国台北和美国加州均设有研发中心，具备了协同增效的突出优势。复宏汉霖主要的产品开发策略是仿创结合，从生物类似药起步，逐步开发创新型单抗产品，结合自主开发的抗PD-1和PD-L1单抗，在国内率先推出免疫联合疗法，前瞻性布局了一个多元化、创新单抗及肿瘤免疫联合疗法管线，打造出研究、开发、商业化生产的综合性生物医药全产业链平台。截至目前，复宏汉霖已有1个产品成功上市，2个产品获得中国新药上市申请受理，1个产品获得欧盟营销授权申请受理，10个产品、8个联合治疗方案在全球范围内开展20多项临床试验。其中，公司首款重磅产品汉利康？（利妥昔单抗注射液）于2019年2月获国家药监局新药上市注册批准，成为中国首个获批上市的生物类似药。HLX03（阿达木单抗注射液）与HLX02（注射用曲妥珠单抗）已获国家药监局新药上市申请受理，现已纳入优先审评程序。HLX02相继在中国大陆、乌克兰、欧盟波兰和菲律宾全面启动国际多中心3期临床试验，成为国内首个开展国际多中心3期临床研究的生物类似药，并于2019年6月获欧洲药品管理局营销授权申请受理。此外，公司已陆续就HLX10（抗PD-1单抗）与自有产品HLX04（贝伐珠单抗生物类似药）、HLX07（抗EGFR单抗）以及化疗联用开展多项肿瘤免疫联合疗法，在全球范围内开展多个临床研究。
